id	en1	jp1	en2	jp2	level	similar
25	thus	このように、したがって	I forgot my umbrella; thus, I got soaked in the rain.	傘を忘れたので、その結果、雨でびしょ濡れになりました。	1	[8161,8995,7509,2208,6242]
26	though	しかし、～にもかかわらず	Though it was raining, we decided to go for a walk.	雨が降っていたが、私たちは散歩に行くことに決めた。	1	[1318,1047,8930,1545,8018]
27	command	命令	He gave a clear command to his subordinates.	彼は部下に明確な命令を出しました。	1	[975,4089,4118,7965,5714]
28	truth	真実	Knowing the truth can be painful at times, but it is essential.	真実を知ることは時に辛いことですが、重要です。	1	[593,7354,10948,1775,10305]
29	insurance	保険、補償のための契約	It is important to have health insurance to cover medical expenses.	医療費をカバーするために健康保険に入ることは重要です。	1	[10266,9889,916,1673,7742]
30	fill	満たす、充填する	Please fill the form with your personal information.	個人情報をフォームに記入してください。	1	[1701,8529,5475,559,10668]
31	indeed	実際に、本当に、確かに	She is indeed a talented musician.	彼女は実際に才能のある音楽家です。	1	[9685,7052,113,6903,5743]
32	cup	カップ、飲料を入れる容器	She poured her coffee into a large cup.	彼女は大きなカップにコーヒーを注ぎました。	1	[696,7769,7916,1747,1153]
33	match	一致、合致すること	The colors of her dress perfectly match the decorations in the room.	彼女のドレスの色は部屋の装飾と完璧に合っています。	1	[6468,5184,5731,10182,1885]
34	officer	職員、役人、警察官	The police officer helped us find our way home.	その警察官は私たちが家に帰るための道を教えてくれました。	1	[1927,1689,521,6458,9871]
35	someone	誰か、ある人	Someone left their umbrella in the hallway.	誰かが廊下に傘を置き忘れました。	1	[1234,8995,25,945,2208]
36	plate	皿、プレート	Please put your dish on the table and take a clean plate from the cupboard.	料理をテーブルの上に置いて、食器棚からきれいな皿を取ってください。	1	[2097,4931,2029,1861,2817]
37	copper	銅、金属の一種	Copper is an excellent conductor of electricity.	銅は電気の優れた導体です。	1	[5526,1278,3582,74,3458]
38	gentle	優しい、穏やかな	She has a gentle touch that comforts everyone around her.	彼女は周りの誰もが安心するような優しい手つきを持っています。	1	[918,3508,8860,4361,4736]
39	season	季節	Autumn is my favorite season.	私は秋が一番好きな季節です。	1	[9075,9530,610,1633,9440]
40	number	数、番号	The number of students in the class has increased this year.	今年、クラスの生徒数が増えました。	1	[9348,4645,2320,1801,9965]
41	recognition	認識、認めること	The award was a recognition of her hard work and dedication.	その賞は彼女の努力と献身の認識を示すものでした。	1	[1156,2098,3025,1000,1940]
42	beard	あごひげ	He has a beard.	彼はあごひげを生やしている。	1	[8365,1997,8597,7288,2843]
43	trunk	幹、トランク、荷物入れ	The elephant raised its trunk and trumpeted loudly.	象は幹を上げて大きな声で鳴きました。	1	[1696,9306,829,1995,9655]
44	strap	ストラップ、ひも、帯	She used a leather strap to secure the suitcase.	彼女はスーツケースを固定するために革のストラップを使った。	1	[1938,4600,4697,288,1911]
45	action	行動、活動	The movie was full of exciting action and thrilling scenes.	その映画は、エキサイティングなアクションとスリリングな場面に満ちていました。	1	[8202,2309,10645,1011,7862]
46	man	男	The man was walking his dog in the park.	男は公園で犬と散歩をしていました。	1	[884,5747,5829,4105,9765]
47	gate	門、ゲート	There was a beautiful gate at the entrance of the park.	公園の入り口には美しいゲートがありました。	1	[957,9905,5658,3664,1496]
48	wonder	驚き、驚嘆	The children were filled with wonder at the beauty of the starry sky.	子供たちは星空の美しさに驚きました。	1	[3815,1842,5593,791,8716]
49	lie	嘘、虚偽の陳述	It's never a good idea to lie to your friends.	友達に嘘をつくことは決して良い考えではありません。	1	[1149,6701,7541,9737,3174]
50	sport	スポーツ、競技	He has been playing that sport since he was a child.	彼は子供の頃からそのスポーツを続けています。	1	[6724,3052,387,6563,323]
51	caution	注意、用心	Please use caution while driving in the rain.	雨の中で運転する際は注意してください。	1	[780,9722,4029,617,3405]
52	pull	引く	Please pull the door.	ドアを引いてください。	1	[2156,333,384,7394,773]
53	through	通して、通じて、縦に	She walked through the forest, enjoying the beauty of nature.	彼女は森を通り抜けながら自然の美しさを楽しんでいました。	1	[9723,3192,9949,491,7421]
54	fade	消える、薄れる	The colors of the painting began to fade after many years.	その絵画の色は、何年も経つにつれて薄れていきました。	1	[8135,8349,7486,10635,2579]
55	quiet	静かな	She enjoys reading books in a quiet place.	彼女は静かな場所で本を読むのが好きです。	1	[5554,1444,4956,623,3669]
56	strip	剥がす、剥ぎ取る、脱ぐ	The artist decided to strip the old paint from the wooden surface before applying a new coat.	アーティストは、新しい塗装を施す前に、木の表面から古い塗料を剥がすことに決めました。	1	[1329,1993,3503,4190,7962]
57	applaud	拍手喝采する、称賛する	The audience applauded the performer enthusiastically.	観客は演奏者を盛んに拍手喝采しました。	1	[7243,2138,5109,3149,9657]
58	great	素晴らしい、優れた	She did a great job on her presentation.	彼女はプレゼンテーションで素晴らしい仕事をしました。	1	[296,211,5835,1583,175]
59	pass	合格、通過する	He studied hard to pass the exam.	彼は試験に合格するために一生懸命勉強しました。	1	[4807,2896,1288,5311,3634]
60	hunger	飢え、空腹	Hunger can drive people to seek food in desperate situations.	飢えは、人々が絶望的な状況で食べ物を求める原因となることがあります。	1	[3934,3659,3158,4262,6529]
61	regard	考慮、尊重、関心	I have a high regard for your opinions and suggestions.	私はあなたの意見や提案に高い敬意を持っています。	1	[1387,8593,1222,3005,2950]
62	must	必ず～しなければならない、義務がある	You must finish your homework before going out to play.	遊びに出かける前に宿題を終わらせなければなりません。	1	[371,8962,8993,9719,8963]
63	content	内容、情報	He carefully prepared the content for his presentation.	彼はプレゼンテーションの内容をしっかりと準備しました。	1	[179,3447,5309,10009,10914]
64	cry	泣く、叫ぶ	She cried out of joy.	彼女は嬉しさのあまり、思わず泣いてしまった。	1	[7812,1784,8010,1184,7216]
65	hall	ホール、大広間	The grand hall was beautifully decorated for the wedding reception.	その大広間は結婚披露宴のために美しく装飾されていました。	1	[5895,2702,6468,1998,3408]
66	broad	広い、広範な	The river is broad enough for boats to pass through easily.	その川は、ボートが簡単に通れるほど広いです。	1	[1895,1355,1917,1106,8138]
67	half	半分、二分の一	I only ate half of the pizza.	私はピザの半分だけ食べました。	1	[1953,10634,7993,1581,8166]
68	arm	腕、腕としての働き	She put her arm around her friend to comfort her.	彼女は友達を慰めるために腕を回した。	1	[4518,5625,4217,2185,4606]
69	feed	餌、飼料	I forgot to feed the birds.	鳥に餌をやるのを忘れてしまいました。	1	[8663,6605,10861,6971,8316]
70	immense	巨大な、途方もない	He is putting immense effort into the project.	彼はそのプロジェクトに途方もない努力を注いでいます。	1	[5382,4898,8093,3372,3604]
71	problem	問題、課題	He is working hard to solve the problem.	彼はその問題を解決するために一生懸命働いています。	1	[2439,1575,5382,4898,500]
72	sock	靴下	I bought a pair of warm socks for the winter.	冬のために暖かい靴下を一足買いました。	1	[6597,998,105,1975,1614]
73	science	科学	Science is the key to understanding our world.	科学は私たちの世界を理解するための鍵です。	1	[1026,6536,1010,8452,1783]
74	electrician	電気技師、電気工	The electrician fixed the wiring in my house quickly and efficiently.	その電気技師は私の家の配線を迅速かつ効率的に修理しました。	1	[2046,5606,3791,1533,7096]
75	tame	飼い慣らす、なつける	He is good at taming wild horses.	彼は野生の馬を飼い慣らすのが得意です。	1	[3102,9470,245,5117,1525]
76	honor	名誉、尊敬	He fought with courage and honor.	彼は勇気と名誉をもって戦いました。	1	[122,723,3332,3748,3283]
77	nothing	何も～ない	I have nothing to do.	何もすることがない。	1	[9511,7062,6775,1260,4496]
78	drop	落とす	He accidentally dropped the book from his hands.	彼は手から本を落としてしまった。	1	[5492,10711,3338,5303,5085]
79	collect	集める、収集する	She enjoys collecting stamps from around the world.	彼女は世界中の切手を集めるのが趣味です。	1	[2117,1129,8507,2261,5933]
80	excuse	言い訳、口実	He used an excuse for being late.	彼は遅れた理由を言い訳として使った。	1	[5860,3836,2254,1404,7483]
81	war	戦争、戦い	The country has been facing turmoil since the outbreak of war.	その国は戦争の勃発以来、混乱に直面しています。	1	[6631,6881,7157,3327,10623]
82	wicked	邪悪な、意地悪な	The witch gave a wicked grin.	魔女は邪悪な笑みを浮かべた。	1	[2855,7802,3299,8261,7030]
83	cake	ケーキ、特に甘いデザート	She baked a delicious chocolate cake for the party.	彼女はパーティーのためにおいしいチョコレートケーキを焼きました。	1	[9741,5731,10553,6468,745]
84	whom	誰に（人を指す関係代名詞）	To whom should I address the letter?	その手紙は誰に宛てればいいのですか？	1	[1376,4160,6610,4444,9860]
85	actress	女優	She is an actress who performs on stage and in movies.	彼女は舞台や映画で活躍する女優です。	1	[6614,1930,5904,5683,768]
86	card	カード、名刺、カードゲームなどの意味を持つ	I received a beautiful card for my birthday.	誕生日に素敵なカードをもらいました。	1	[107,896,436,212,430]
87	support	支える、支援する	I support your decision.	私はあなたの決断を支持します。	1	[1387,10462,6768,8957,641]
88	ornament	装飾品、飾り	We put ornaments on the Christmas tree.	クリスマスツリーに装飾品を付けました。	1	[4000,2924,2084,3858,3003]
89	harden	硬化する、強くする	The clay will harden as it dries in the sun.	粘土は日光で乾くにつれて硬化します。	1	[5910,8490,1021,1694,10167]
90	breakfast	朝食	I had bread and coffee for breakfast.	朝食はパンとコーヒーでした。	1	[1738,5992,582,9743,10344]
91	branch	枝	I sat on a large branch of the tree and read a book.	大きな木の枝に座って、本を読みました。	1	[10825,235,1444,8217,8568]
92	pocket	ポケット、服の一部で物を入れるための空間	I found some loose change in my pocket.	ポケットの中にいくつかの小銭を見つけました。	1	[783,3,405,2380,2197]
93	avenue	大通り、通り、道筋	She walked down the bustling avenue, enjoying the lively atmosphere of the city.	彼女は賑やかな大通りを歩きながら、街の活気ある雰囲気を楽しんでいました。	1	[9723,491,9949,5935,53]
94	ounce	オンス（重さの単位）、約28.35グラム	There are 16 ounces in a pound.	1ポンドは16オンスです。	1	[9293,2062,1693,567,9453]
95	dirt	泥、土、汚れ	The children played outside and got dirt all over their clothes.	子供たちは外で遊んで、服が泥だらけになりました。	1	[372,1227,4929,383,3676]
96	mend	修理する、直す	He worked hard to mend the flat tire on his old bicycle.	彼は古い自転車を修理するために、一生懸命にパンクを直しました。	1	[1797,5353,2631,6284,5752]
97	honesty	誠実、正直さ	Honesty is the foundation of any strong relationship.	誠実さは、どんな強い関係の基盤です。	1	[7623,2269,8958,8814,9139]
98	beauty	美しさ、魅力	The beauty of the sunset took my breath away.	夕日の美しさには息を呑みました。	1	[193,1134,124,1167,3805]
99	friendly	友好的な、親しみやすい	He always has a friendly smile on his face.	彼はいつも友好的な笑顔を浮かべている。	1	[9642,2148,2941,3990,2111]
100	advise	動詞「助言する」「勧める」	He advised me on my decision to continue my education.	彼は私に進学について助言をくれました。	1	[1163,1407,6273,3840,6270]
101	loose	ゆるい、緩い	His pants are a bit loose, so he needs to tighten his belt.	彼のズボンは少しゆるいので、ベルトを締める必要があります。	1	[2102,10787,1726,2988,6462]
102	word	単語、言葉	Can you tell me the meaning of this word?	この単語の意味を教えてくれますか？	1	[9802,9318,6575,6926,6321]
103	invent	発明する、考案する	He invented a new type of engine.	彼は新しいタイプのエンジンを発明しました。	1	[1858,3432,8540,2355,1904]
104	shelf	棚、物を置くための平らな面	I placed my favorite books on the shelf.	お気に入りの本を棚に置きました。	1	[134,662,1243,5337,681]
105	clothe	衣服を着る、服を与える	He decided to clothe himself in a warm jacket for the winter.	彼は冬のために暖かいジャケットを着ることに決めました。	1	[5345,1348,3918,900,9277]
106	cent	セント（通貨の単位）、100分の1ドル	This candy costs fifty cents.	このキャンディは50セントです。	1	[10089,4233,7870,783,1431]
107	gift	贈り物、プレゼント	I received a wonderful gift on my birthday.	誕生日に素晴らしい贈り物をもらいました。	1	[896,86,212,436,430]
108	for	〜のために、〜に対して	This gift is for you to celebrate your achievement.	この贈り物は、あなたの達成を祝うためのものです。	1	[938,212,4088,6867,561]
109	above	上に、上昇している	The airplane flew above the clouds.	その飛行機は雲の上を飛んだ。	1	[809,3756,1455,2396,5072]
110	seem	見える、思われる	It may seem difficult at first, but with practice, you will improve.	最初は難しそうに思えるかもしれませんが、練習すれば上達します。	1	[116,1135,10041,6670,1764]
111	store	店、保管する場所	I need to go to the store to buy some groceries.	私は食料品を買うために店に行く必要があります。	1	[1683,1700,503,9744,217]
112	electric	電気、電動の	He bought a new electric bicycle and enjoys moving around the city freely.	彼は新しい電動自転車を買って、街を自由に移動しています。	1	[5693,1359,1223,729,5353]
113	musician	音楽家、ミュージシャン	She is a talented musician who plays the violin beautifully.	彼女は美しくバイオリンを弾く才能ある音楽家です。	1	[9685,31,528,5743,6903]
114	presence	存在、出席	Her presence at the meeting made a big difference.	彼女の出席が会議に大きな影響を与えました。	1	[2226,4694,8512,2603,9771]
115	character	キャラクター、性格	Her character is very charming and loved by many people.	彼女のキャラクターはとても魅力的で、多くの人に愛されています。	1	[1924,918,4361,10667,8850]
116	practice	練習	By practicing a little every day, your skills will surely improve.	毎日少しずつ練習を重ねることで、スキルは確実に向上します。	1	[1764,387,6123,110,10156]
117	hurt	傷つける、痛める	He was hurt by his friend's words.	彼は友達の言葉に傷ついてしまった。	1	[5975,5942,8360,2813,7574]
118	blade	刃、刀身	The chef skillfully sliced the vegetables with a sharp blade.	シェフは鋭い刃で野菜を手際よく切りました。	1	[135,6022,1280,3151,7466]
119	cautious	慎重な、用心深い	She is always cautious when making important decisions.	彼女は重要な決定を下すとき、常に慎重です。	1	[1074,497,10042,3576,2158]
120	advance	前進、進展	She made significant advances in her research on renewable energy.	彼女は再生可能エネルギーに関する研究で重要な進展を遂げました。	1	[1690,3635,2217,1783,3677]
121	bottle	ボトル、瓶	I need to buy a bottle of water before the hike.	ハイキングの前に水のボトルを買う必要があります。	1	[10420,9617,6519,9171,9227]
122	act	行動する、演じる	He acted courageously.	彼は勇気を持って行動した。	1	[8954,7071,76,286,1973]
123	dot	点、小さな丸	Please put a dot at the end of each sentence.	各文の最後に点を付けてください。	1	[3524,7786,4721,559,1914]
124	photograph	写真、撮影した映像	She took a beautiful photograph of the sunset.	彼女は夕日を美しく撮影した。	1	[9990,10828,98,1167,2245]
125	reach	到達する、手が届く	I hope to reach my goals by the end of this year.	私は今年の終わりまでに目標を達成したいと思っています。	1	[9236,196,920,565,10047]
127	draw	描く、引く	She loves to draw pictures of animals in her sketchbook.	彼女はスケッチブックに動物の絵を描くのが大好きです。	1	[8685,9891,6741,5318,5700]
128	hook	フック、釣り針、引っ掛けるもの	She used a hook to hang the painting on the wall.	彼女は絵を壁に掛けるためにフックを使った。	1	[1037,1131,1759,7892,7962]
129	convenience	便利、都合の良さ	This store is very convenient because it's close to the station.	この店は駅に近くてとても便利です。	1	[9644,10165,186,1564,9294]
130	protect	保護する	Parents try to protect their children from danger.	親は子供を危険から守ろうとします。	1	[7008,6822,587,6449,2382]
131	rod	棒、ロッド	He used a sturdy rod to catch fish in the lake.	彼は湖で魚を釣るために頑丈な棒を使った。	1	[496,8114,1420,505,4739]
132	tail	尾、しっぽ	The cat walked with its tail held high.	猫はしっぽを高く上げて歩いていました。	1	[8801,4170,9677,8134,10770]
133	cheap	安い	This store offers high-quality products at cheap prices.	この店では、安い価格で高品質の商品を買うことができます。	1	[3887,3763,8926,7679,1395]
134	those	それら、あれら	Those books on the shelf are my favorites.	あの棚にある本は私のお気に入りです。	1	[683,104,9590,1243,9593]
135	knife	ナイフ、刃物	He used a knife to cut the vegetables for the salad.	彼はサラダのために野菜を切るのにナイフを使った。	1	[118,6022,1280,2020,8649]
136	kingdom	王国、国家の領域	There was once a great kingdom in this region.	かつて、この地域には偉大な王国が存在しました。	1	[8792,7909,925,944,7241]
137	pattern	模様、形、パターン	The quilt has a beautiful floral pattern on it.	そのキルトには美しい花の模様が施されています。	1	[4112,1213,10364,5246,10203]
138	message	メッセージ、伝達	I need to send him an important message.	彼に重要なメッセージを送る必要があります。	1	[5937,9977,742,849,9419]
139	song	歌、楽曲	She sang her favorite song at the karaoke bar.	彼女はカラオケバーでお気に入りの歌を歌った。	1	[6750,4581,9289,4482,1029]
140	white	白い、色の一つ	The walls of the room were painted white to create a calming atmosphere.	その部屋の壁は白く塗られていて、落ち着いた雰囲気を作り出していました。	1	[1137,5184,7001,6502,6942]
141	poet	詩人、詩を書く人	The famous poet wrote many beautiful poems about nature.	その有名な詩人は自然についての美しい詩をたくさん書きました。	1	[1795,3841,1755,4608,10355]
142	proof	証拠、証明	He provided solid proof of his claims during the meeting.	彼は会議中に自分の主張の確固たる証拠を提供しました。	1	[3074,7032,5067,10423,4541]
143	log	丸太、記録、ログ	He kept a log of his daily activities to track his progress.	彼は進捗を追跡するために日々の活動を記録していました。	1	[960,10709,5841,3437,3027]
144	blood	血	The doctor said my blood test results were normal.	医者は私の血液検査の結果が正常だと言いました。	1	[6182,8054,8795,8149,4837]
145	favorite	お気に入り	My favorite movie is one I watch every year.	私のお気に入りの映画は毎年見ています。	1	[9643,2084,39,901,9593]
146	companion	仲間、付き添い	My dog is my best companion; he's always there for me.	私の犬は最高の仲間です；彼はいつも私のためにそばにいてくれます。	1	[7253,2092,894,5808,1276]
147	hate	憎む、嫌う	I hate people who lie.	私は嘘をつく人が嫌いだ。	1	[3730,6701,6960,7553,49]
148	money	お金	I want to save money.	お金を貯めたい。	1	[9935,3367,1030,7642,10014]
149	everyday	日常の、毎日の	She goes for a run everyday to stay healthy.	彼女は健康を保つために毎日ランニングをします。	1	[1568,7098,1845,5841,343]
150	rock	岩、石	The children found a large rock by the river.	子供たちは川のそばで大きな岩を見つけました。	1	[294,1887,372,1934,1429]
151	rid	取り除く、解放する	We need to rid the house of clutter to make it more spacious.	私たちは家を整理して、もっと広くする必要があります。	1	[8388,6274,2685,1075,1356]
152	university	大学	She decided to attend university to pursue her degree in biology.	彼女は生物学の学位を取得するために大学に通うことに決めました。	1	[8315,7078,3710,4189,4437]
153	recognize	認識する、認める	I can recognize her voice even without seeing her.	彼女を見ることなくても、彼女の声を認識することができます。	1	[6589,2602,6527,2346,5559]
154	mountain	山	The mountain offers beautiful views and fresh air.	その山は美しい景色と新鮮な空気を提供しています。	1	[802,167,751,6418,6390]
155	official	公式、認可された	The official announcement was made before the meeting began.	公式の発表が行われた後、会議は始まりました。	1	[10151,5916,3863,10556,9771]
156	heart	心、心臓	She felt a warmth in her heart when she saw her best friend after many years.	彼女は何年ぶりに親友に会ったとき、心が温かくなるのを感じた。	1	[1317,4787,847,233,4325]
157	fellow	仲間、同僚	She is a fellow student in my class.	彼女は私のクラスの同級生です。	1	[4642,680,1162,3927,9620]
158	soap	石鹸、洗浄剤	It's important to use soap when washing your hands.	手を洗うときは、石鹸を使うことが大切です。	1	[3006,4510,8858,5144,3603]
159	space	宇宙、空間	The astronauts traveled to space to conduct experiments.	宇宙飛行士たちは実験を行うために宇宙に向かった。	1	[9641,7267,3911,8746,9559]
160	middle	中間	He waited for his friend at the middle point.	彼は中間地点で友達と待ち合わせをしました。	1	[6552,219,9250,1603,2509]
161	well	良い、元気で、うまくいっている	She felt well after taking the medicine.	彼女は薬を飲んだ後、元気になりました。	1	[8198,486,1263,5886,1326]
162	severe	厳しい、深刻な	The area was hit by a severe storm, forcing many people to evacuate.	その地域は厳しい嵐に見舞われ、多くの人々が避難しました。	1	[5489,5961,6145,685,9646]
163	compete	競争する	He is competing for a gold medal at the Olympics.	彼はオリンピックで金メダルを獲得するために競争しています。	1	[3075,9320,6508,1630,9361]
164	bunch	束、群れ、集まり	She picked a bunch of flowers from the garden.	彼女は庭から一束の花を摘んだ。	1	[8450,8369,3998,717,6961]
165	modesty	謙虚さ、控えめさ	Her modesty in accepting the award surprised everyone.	彼女が賞を受け取る際の謙虚さは、みんなを驚かせました。	1	[320,41,9690,2098,8246]
166	bite	噛むこと、かみつくこと	The dog might bite if you approach it too quickly.	その犬に近づきすぎると、かみつかれるかもしれません。	1	[3933,5936,5244,4170,2882]
167	scenery	景色、風景	The scenery from the top of the mountain is breathtaking.	その山の頂上からの景色は息をのむほど美しい。	1	[751,6418,4576,8779,10109]
168	nowadays	現代、最近	Nowadays, more people are shopping online.	最近、人々はオンラインで買い物をすることが増えています。	1	[1410,10661,6314,4729,9904]
169	conqueror	征服者、勝者	The conqueror of the land was celebrated for his bravery and skill in battle.	その土地の征服者は、勇気と戦闘技術で称賛されました。	1	[3332,7350,7949,7003,76]
170	rob	奪う、盗む	He tried to rob the bank of its money.	彼は銀行を襲ってお金を奪おうとしました。	1	[1716,4862,8398,2231,6470]
171	several	いくつかの	I borrowed several books from the library.	いくつかの本を借りてきました。	1	[958,908,1676,7,8982]
172	further	さらに、もっと遠くに	We need to discuss this further before making a decision.	私たちは決定を下す前に、これについてさらに話し合う必要があります。	1	[10118,2059,7280,7019,2433]
173	hard	硬い、難しい	He found the problem to be very hard.	彼はその問題がとても難しいと感じました。	1	[8815,71,6111,903,1777]
174	crime	犯罪	The police are working hard to reduce the crime rate in the city.	警察は市の犯罪率を減少させるために懸命に働いています。	1	[2856,7389,7445,6458,8796]
175	forth	前に、前方に、出て、発展して	She stepped forth confidently to deliver her presentation.	彼女は自信を持って前に出てプレゼンテーションを行いました。	1	[1583,58,296,3094,635]
176	coarse	粗い、粗雑な	This fabric has a coarse texture and is not gentle on the skin.	この布は粗い質感で、肌に優しくありません。	1	[3978,10637,7208,609,1154]
177	regret	後悔	He regrets that decision.	彼はその決断を後悔している。	1	[6201,5612,5181,4534,4016]
178	under	下に、以下のような位置や状況を示す前置詞	The cat is sleeping under the table.	猫はテーブルの下で寝ています。	1	[1974,817,2243,2247,1198]
179	ready	準備ができた状態	He got all the materials ready for the meeting.	彼は会議のためにすべての資料を準備しました。	1	[3009,63,4260,3765,5309]
180	pile	山積み、積み重なったもの	The pile of books on the table is getting higher.	テーブルの上の本の山がどんどん高くなっている。	1	[3935,6203,318,1243,1458]
181	entire	全体の、すべての	She read the entire book in just two days.	彼女はたった2日でその本を全部読みました。	1	[1172,2024,8045,8938,5391]
182	old	古い、年老いた	My grandfather has a collection of old coins.	私の祖父は古いコインのコレクションを持っています。	1	[8507,6454,7518,2261,6734]
183	chalk	チョーク、黒板や壁に書くための細い棒状のもの	She wrote the math equation on the board with a piece of chalk.	彼女は黒板にチョークを使って数学の方程式を書きました。	1	[3424,8952,9090,2113,1393]
184	cowardice	臆病、弱気	His cowardice prevented him from standing up for what he believed in.	彼の臆病さが、彼が信じることのために立ち上がることを妨げた。	1	[322,4603,6548,1456,4174]
185	different	異なる	Their opinions seem to be different.	彼らの意見は異なっているようです。	1	[7495,2918,3216,3984,7237]
186	corner	角、隅	There's a convenience store on the corner.	角にコンビニがあります。	1	[9644,129,9142,7393,1700]
187	tide	潮、干潮と満潮の変動	The tide comes in and out every six hours.	潮は6時間ごとに出入りします。	1	[8021,4402,4245,7874,7407]
188	welcome	歓迎する、迎える	We warmly welcome all our guests to the event.	私たちはイベントにすべてのゲストを心から歓迎します。	1	[7138,5986,8232,8555,9230]
189	brass	真鍮、金属の合金（主に銅と亜鉛）	The trumpet was made of brass, giving it a bright and powerful sound.	そのトランペットは真鍮で作られており、明るく力強い音を出していました。	1	[43,5576,2684,1189,10725]
190	grammar	文法	Understanding grammar is essential for mastering a new language.	新しい言語を習得するためには、文法を理解することが不可欠です。	1	[522,1857,1193,2069,1135]
191	touch	触る、感動させる	She touched the baby's cheek.	彼女は赤ちゃんの頬に触れた。	1	[4352,1782,1799,5703,4026]
192	reduce	減らす、縮小する	We need to find new ways to reduce energy consumption.	私たちはエネルギー消費を減らすために新しい方法を見つける必要があります。	1	[4414,4272,8918,9217,8737]
193	beyond	超えて、向こう側に、以上に	The beauty of the sunset was beyond words.	その夕日の美しさは言葉で表現できないほどでした。	1	[98,1134,14,3805,124]
194	smoke	煙、タバコを吸う	He went outside to smoke.	彼はタバコを吸うために外に出た。	1	[7251,1741,8170,473,8237]
195	street	通り、街路	The street was lined with beautiful cherry blossom trees.	その通りは美しい桜の木で並んでいました。	1	[9092,9125,5007,957,1430]
196	intend	意図する、予定する	I intend to finish my project by the end of the week.	私は今週の終わりまでにプロジェクトを終えるつもりです。	1	[9808,1032,7903,3821,9046]
197	rude	失礼な、無礼な	He used rude language in front of everyone.	彼は人前で失礼な言葉を使った。	1	[3353,6893,6215,4335,2915]
198	wire	ワイヤー、金属製の細い線	She used a thin wire to connect the two pieces of metal.	彼女は二つの金属部品をつなぐために細いワイヤーを使った。	1	[1191,3296,5033,1492,128]
